Name|Category|Year|About|Price|Images
Opulent Ornaments|Ornaments|2018, 2019, 2021|The opulent ornament project is a tradition in our family that has now spanned four generations.  During Thanksgiving of 2018, our youngest generation was introduced to the art and has outdone us all.  We hope you will enjoy each of the 300-500 pins per ornament that create this intricate and individual piece of art.|$20-$25|Opulent Ornaments:Opulent Ornaments A:Opulent Ornaments B:Opulent Ornaments C:Opulent Ornaments D:Opulent Ornaments E
Origami Ornaments|Ornaments|2018, 2019, 2021|These 3-dimensional balls of florets are fashioned after the Japanese kusudama (薬玉; lit. medicine ball).  Kusudama originate in ancient Japanese culture, where they were used for incense and potpourri; possibly originally being actual bunches of flowers or herbs (Wikipedia).  They are made of paper from flower catalogs to create everlasting bouquets.|$15|
Quilled Ornaments|Ornaments|2018, 2019, 2021|These delicate snowflakes and snowflake-style balls are quilled out of paper.  They are modeled on snowflakes collected here in Lansing, as seen under a stereoscope.  Just like those snowflakes, each one is unique, with a delicate snowy appearance.|$7-$10|Quilled Snowflakes:Quilled Snowflakes A:Quilled Snowflakes B:Quilled Snowflakes C:Quilled Snowflakes D:Quilled Snowflakes E:Quilled Snowflakes F:Quilled Snowflakes G:Quilled Snowflakes H
Beaded Snowflakes|Ornaments|2018, 2019, 2021|These intricate snowflakes feature glass beads woven in a 3-dimensional design.  They are designed based on real snowflakes collected in Lansing, as seen under a stereoscope.  The glass menagerie collects and refracts light to create a glistening holiday ornament.|$7|
Earrings|Accessories|2018, 2019, 2021|These intricate earrings are delicately woven out of glass beads and wire.  They have a unique design with loving inspirations from travels and fun times.  We hope you enjoy all of our hard work put into these finely woven earrings.|$10|Beaded Earrings:Beaded Earrings A:Beaded Earrings B:Beaded Earrings C:Beaded Earrings D:Beaded Earrings E:Beaded Earrings F:Quilled Earrings A:Quilled Earrings B:Quilled Earrings C:Quilled Earrings D:Quilled Earrings E:Quilled Earrings F:Quilled Earrings G:Quilled Earrings H:Earrings A:Earrings B:Earrings C:Earrings D
Beaded Hairclips|Accessories|2018, 2019|These tangle-free hairclips are daintily made out of glass beads and wire.  They are spiraled in different colors to add interest and a neat pattern.  Each hairclip has a joyful memory behind it, and it would love to share this joy with you.|$3 or 2 for $5|Beaded Hairclips:Beaded Hairclips A:Beaded Hairclips B:Beaded Hairclips C
Pendants|Accessories|2021|The pendants are made with creativity, patience, and lots of beads.  Each pendant takes about an hour to design and make.  All patterns used are modified from the original patterns found on the web, but we hope to expand in 2022 to creating our own designs.|$5|Beaded Pendant A:Beaded Pendant B:Beaded Pendant C:Pendant A:Pendant B
Beaded Bracelets|Accessories|2021|These intricate bracelets are made of perseverance, persistence, and a healthy amount patience.  They are created to be worn in all seasons without pinching.  These patterns were done with two generations who worked their way through the patterns to create the intricate designs on the bracelets.|$15|Beaded Bracelet A:Beaded Bracelet B:Beaded Bracelet C:Beaded Bracelet D:Beaded Bracelet E:Beaded Bracelet F:Beaded Bracelet G:Beaded Bracelet H:Beaded Bracelet I
Crochet Scarves|Crocheted Accessories|2019, 2021|These beautiful interwoven scarves are made of soft, warm yarn of high quality.  They are made with love and happiness to keep you warm through the cold winter months.  The scarves are durable and washable.|$10-$15|
Crochet Hairbands|Crocheted Accessories|2018, 2019, 2021|These hairbands are made of colorful, fluffy eyelash yarn that doesn't tangle in hair.  They are washable and fun to use.  This is also a multi-generational project done year after year together.|$1|
Reusable Bags|Other|2019, 2021|These reusable bags are 100% cotton.  They can be washed and tumble-dried on medium.  The large bags are sturdy and can be used for packaged foods, while the small bags are food-safe, organic, and unbleached for produce.|$8|Reusable Bags:Reusable Bags A:Reusable Bags B:Reusable Bags C:Reusable Bags D
Felt Food|Other|2018, 2019, 2021|Inspired by playing with children and realizing how much they learn through play.  These kits foster creativity and encourage games to experiment with recipes, count, learn fractions, and more. Be inspired and play more!  Enjoy these fun kits made of 100% USA materials (aside from the packaging).|$10|Felt Food (Tacos):Felt Food (Pizza):Felt Food (Sushi)
Quilled Pictures|Other|2021|These intricate paper quilling creations are created to show the delicacy of animal life on Earth.  They are based on imagination and real life to make them beautiful and life-like.  We hope you enjoy the delicate wonders of nature with these quilled pictures.|$20|Quilled Pictures:Quilled Pictures A:Quilled Pictures B
Magnets|Other|2021|These handmade magnets are created to inspire you every day.  The pictures and letters are cut from magazines and arranged carefully into phrases.  Every time you see them, be inspired!|$1|
